WiFi access,_id,area (in square km),average temperature (°F),cellular access,climate,date established as park,fees (in $),location,name,picture,recreation visitors,website
none,617f0e29a76ec2a3aca1f202,198.6,44.5,very limited,maritime,1919-01-26T00:00:00.000Z,15,Maine,Acadia,https://upload.wikimedia.org/wikipedia/commons/9/93/Bass_Harbor_Head_Light_Station_2016.jpg,2669034,https://www.nps.gov/acad/index.htm
none,617f12bca76ec2a3aca1f207,33.4,86,generally good,tropical,1988-10-31T00:00:00.000Z,0,American Samoa,American Samoa,https://upload.wikimedia.org/wikipedia/commons/6/6d/Ofu_Beach_American_Samoa_US_National_Park_Service.jpg,4819,https://www.nps.gov/npsa/index.htm
in restorants,617f151fa76ec2a3aca1f208,310.3,52,spotty,desert,1917-11-12T23:00:00.000Z,15,Utah,Arches,https://upload.wikimedia.org/wikipedia/commons/7/78/USA_Arches_NP_Delicate_Arch%281%29.jpg,1238083,https://www.nps.gov/arch/index.htm
available at the Ben Reifel Visitor Center,617f173ca76ec2a3aca1f209,982.4,38,depending on location,humid continental,1978-11-10T23:00:00.000Z,15,South Dakota,Badlands,https://upload.wikimedia.org/wikipedia/commons/e/ee/Badlands_Overlook_at_Sunset.jpg,916932,https://www.nps.gov/badl/index.htm
"available at the Panther Junction Visitor Center, Chisos Mountains Lodge, and Rio Grande Village Store",617f183aa76ec2a3aca1f20a,3242.2,78.8,spotty ,Hot semi-arid,1944-06-12T23:00:00.000Z,12,Texas,Big Bend ,https://upload.wikimedia.org/wikipedia/commons/4/40/On_the_Border_%2839960085292%29.jpg,393907,https://www.nps.gov/bibe/index.htm
available at the Dante Fascell Visitor Center,617f1951a76ec2a3aca1f20b,700,67.8,spotty ,subtropical ,1980-06-28T23:00:00.000Z,0,Florida,Biscayne,https://upload.wikimedia.org/wikipedia/commons/d/df/Biscayne_NP_snorkeling.jpg,402770,https://www.nps.gov/bisc/index.htm
none,617f1a2fa76ec2a3aca1f20c,124,45.2,very poor,humid continental,1999-10-21T23:00:00.000Z,15,Colorado,Black Canyon of the Gunnison,https://upload.wikimedia.org/wikipedia/commons/9/9e/Black_canyon_gunnison_Colorado.jpg,341620,https://www.nps.gov/blca/index.htm
available at the park Visitor Center,617f1b1ea76ec2a3aca1f20d,145,44.4,adequate ,continental,1928-02-25T23:00:00.000Z,20,Utah,Bryce Canyon,https://upload.wikimedia.org/wikipedia/commons/c/c3/Inspiration_Point_Bryce_Canyon_November_2018_panorama.jpg,1464655,https://www.nps.gov/brca/index.htm
none,617f1bfba76ec2a3aca1f20e,1366.2,53.6,limited ,cold semi-arid,1964-09-12T23:00:00.000Z,15,Utah,Canyonlands,https://upload.wikimedia.org/wikipedia/commons/7/78/Canyonlands_National_Park%E2%80%A6Needles_area_%286294480744%29.jpg,493914,https://www.nps.gov/cany/index.htm
none,617f1ccea76ec2a3aca1f20f,979,53.7,limited ,cold semi-arid,1971-12-18T23:00:00.000Z,10,Utah,Capitol Reef,https://upload.wikimedia.org/wikipedia/commons/4/40/Cassidy_Arch%2C_Capitol_Reef_National_Park.JPG,981038,https://www.nps.gov/care/index.htm
none,617f2428a76ec2a3aca1f210,1009.9,52,only on mainland,warm-summer Mediterranean,1980-03-05T23:00:00.000Z,0,California,Channel Islands,https://upload.wikimedia.org/wikipedia/commons/8/82/Santa_Cruz_Island_CA_DSC_4323_ad.JPG,167290,https://www.nps.gov/chis/index.htm
